"","V1","match_id","match_date","match_time","outcome","closing_odds_outcome","home_opening","home_closing","draw_opening","draw_closing","away_opening","away_closing","home_opening_minus_closing","draw_opening_minus_closing","away_opening_minus_closing","home_min","home_max","home_range","draw_min","draw_max","draw_range","away_min","away_max","away_range"
"1",1,1011108,"2015-09-26","13:45:00","home",3.75,3.5,3.75,3.6,3.6,2.2,1.91,-0.25,0,0.29,3.5,4.2,0.7,3.6,3.8,0.2,1.91,2.2,0.29
"2",2,1011421,"2015-09-26","16:00:00","away",1.83,4.5,4,3.75,3.75,1.8,1.83,0.5,0,-0.03,4,4.5,0.5,3.75,3.75,0,1.8,1.83,0.03
"3",3,1011422,"2015-09-26","16:00:00","home",1.44,1.53,1.44,4.33,4.33,7,7,0.0900000000000001,0,0,1.44,1.53,0.0900000000000001,4,4.6,0.6,7,8.5,1.5
"4",4,1011423,"2015-09-26","16:00:00","home",1.2,1.22,1.2,7,6.5,16,13,0.02,0.5,3,1.2,1.22,0.02,6.5,7.5,1,13,16,3
"5",5,1011424,"2015-09-26","16:00:00","home",2,1.91,2,3.5,3.5,4.33,3.75,-0.0900000000000001,0,0.58,1.91,2.05,0.14,3.3,3.5,0.2,3.75,4.33,0.58
"6",6,1011425,"2015-09-26","16:00:00","home",2.45,2.5,2.45,3.3,3.25,3,2.88,0.0499999999999998,0.0499999999999998,0.12,2.45,2.63,0.18,3.25,3.3,0.0499999999999998,2.88,3,0.12
"7",7,1011426,"2015-09-26","16:00:00","draw",3.4,2.25,2.1,3.4,3.4,3.2,3.4,0.15,0,-0.2,2.1,2.38,0.28,3.4,3.6,0.2,3.2,3.4,0.2
"8",8,1011797,"2015-09-26","18:30:00","draw",4,6,4.75,4,4,1.67,1.67,1.25,0,0,4.75,6,1.25,4,4.2,0.2,1.62,1.67,0.0499999999999998
"9",9,1020180,"2015-09-27","17:00:00","away",2.88,2.6,2.4,3.3,3.3,2.9,2.88,0.2,0,0.02,2.4,2.6,0.2,3.3,3.4,0.1,2.88,3.1,0.22
"10",10,1030535,"2015-09-28","21:00:00","away",2.5,2.9,3.1,3.25,3.3,2.63,2.5,-0.2,-0.0499999999999998,0.13,2.9,3.2,0.3,3.25,3.3,0.0499999999999998,2.45,2.63,0.18
"11",11,1068545,"2015-10-03","13:45:00","home",1.75,1.83,1.75,3.5,3.5,5,4.75,0.0800000000000001,0,0.25,1.75,1.91,0.16,3.5,3.5,0,4.5,5.25,0.75
"12",12,1068964,"2015-10-03","16:00:00","away",3,2.6,2.4,3.3,3.2,3.1,3,0.2,0.0999999999999996,0.1,2.4,2.63,0.23,3.2,3.3,0.0999999999999996,2.9,3.1,0.2
"13",13,1068965,"2015-10-03","16:00:00","draw",3.4,2.15,2.1,3.5,3.4,3.7,3.4,0.0499999999999998,0.1,0.3,2.1,2.25,0.15,3.4,3.5,0.1,3.4,3.8,0.4
"14",14,1068966,"2015-10-03","16:00:00","home",1.22,1.25,1.22,6.5,6,13,12,0.03,0.5,1,1.2,1.25,0.05,6,6.5,0.5,12,13,1
"15",15,1068967,"2015-10-03","16:00:00","away",3.1,2.3,2.25,3.6,3.4,3.3,3.1,0.0499999999999998,0.2,0.2,2.15,2.3,0.15,3.4,3.6,0.2,3.1,3.5,0.4
"16",16,1068968,"2015-10-03","16:00:00","draw",3.3,3.1,3.1,3.3,3.3,2.4,2.3,0,0,0.1,3.1,3.1,0,3.3,3.3,0,2.3,2.4,0.1
"17",17,1069400,"2015-10-03","18:30:00","away",5.25,1.8,1.67,3.75,3.6,4.75,5.25,0.13,0.15,-0.5,1.67,1.85,0.18,3.6,3.75,0.15,4.75,5.25,0.5
"18",18,1081290,"2015-10-04","14:30:00","draw",3.25,3,2.5,3.25,3.25,2.5,2.8,0.5,0,-0.3,2.5,3.1,0.6,3.25,3.25,0,2.45,2.8,0.35
"19",19,1081678,"2015-10-04","17:00:00","home",2,2.05,2,3.75,3.4,3.9,3.75,0.0499999999999998,0.35,0.15,2,2.05,0.0499999999999998,3.4,3.8,0.4,3.75,3.9,0.15
"20",20,1081679,"2015-10-04","17:00:00","draw",3.2,2.75,2.63,3.3,3.2,2.75,2.63,0.12,0.0999999999999996,0.12,2.63,2.8,0.17,3.2,3.4,0.2,2.63,2.88,0.25
"21",21,1193897,"2015-10-17","13:45:00","draw",3.5,2.2,2.4,3.4,3.5,3.5,2.88,-0.2,-0.1,0.62,2.2,2.5,0.3,3.4,3.6,0.2,2.8,3.5,0.7
"22",22,1194216,"2015-10-17","16:00:00","home",1.33,1.33,1.33,5.75,5.5,10,8.5,0,0.25,1.5,1.33,1.33,0,5.5,5.75,0.25,8.5,11,2.5
"23",23,1194217,"2015-10-17","16:00:00","away",4,1.91,1.91,3.8,3.6,4.33,4,0,0.2,0.33,1.85,2.05,0.2,3.6,3.8,0.2,3.8,4.5,0.7
"24",24,1194218,"2015-10-17","16:00:00","away",2.25,3.2,3.4,3.2,3.2,2.4,2.25,-0.2,0,0.15,3.2,3.4,0.2,3.2,3.2,0,2.25,2.4,0.15
"25",25,1194219,"2015-10-17","16:00:00","home",1.33,1.36,1.33,5.25,5,9.5,10,0.03,0.25,-0.5,1.33,1.36,0.03,5,5.75,0.75,9.5,11,1.5
"26",26,1194220,"2015-10-17","16:00:00","draw",3.8,1.7,1.7,4,3.8,4.5,4.75,0,0.2,-0.25,1.7,1.7,0,3.8,4,0.2,4.5,4.75,0.25
"27",27,1194221,"2015-10-17","16:00:00","home",2,2.05,2,3.3,3.3,4.2,3.8,0.0499999999999998,0,0.4,2,2.05,0.0499999999999998,3.3,3.3,0,3.8,4.2,0.4
"28",28,1194535,"2015-10-17","18:30:00","away",1.57,6.5,6,4.5,4,1.53,1.57,0.5,0.5,-0.04,6,6.5,0.5,4,4.5,0.5,1.53,1.62,0.0900000000000001
"29",29,1204659,"2015-10-18","17:00:00","home",2.6,2.5,2.6,3.4,3.25,3,2.8,-0.1,0.15,0.2,2.5,2.6,0.1,3.25,3.4,0.15,2.8,3,0.2
"30",30,1211756,"2015-10-19","21:00:00","away",4.2,2.05,2.05,3.3,3.3,4.2,4.2,0,0,0,2.05,2.1,0.0500000000000003,3.3,3.3,0,4,4.2,0.2
"31",31,1212224,"2015-11-01","14:30:00","home",1.44,1.53,1.44,4.4,4.5,7.5,7.5,0.0900000000000001,-0.0999999999999996,0,1.44,1.53,0.0900000000000001,4.33,4.5,0.17,7,7.5,0.5
"32",32,1212476,"2015-11-01","17:00:00","home",1.53,1.55,1.53,4.2,4,6.5,7,0.02,0.2,-0.5,1.53,1.65,0.12,4,4.33,0.33,6,7,1
"33",33,1212714,"2015-11-02","21:00:00","home",1.44,1.36,1.44,5.25,4.75,9.5,8,-0.0799999999999998,0.5,1.5,1.36,1.44,0.0799999999999998,4.75,5.25,0.5,8,9.5,1.5
"34",34,1239291,"2015-11-07","13:45:00","away",3.25,2.15,2.1,3.7,3.5,3.3,3.25,0.0499999999999998,0.2,0.0499999999999998,2.1,2.3,0.2,3.4,3.7,0.3,3.2,3.4,0.2
