"","match_id","league","n_games"
"1",1005110,"Czech Republic: Youth League",107
"2",1005120,"Israel: Leumit League",179
"3",1005121,"Iran: Persian Gulf Pro League",105
"4",1005122,"Iran: Persian Gulf Pro League",105
"5",1005123,"Israel: Leumit League",179
"6",1005124,"Israel: Leumit League",179
"7",1005125,"Israel: Leumit League",179
"8",1005142,"Germany: Regionalliga Nordost",130
"9",1005143,"Greece: Football League",165
"10",1005144,"Iran: Persian Gulf Pro League",105
"11",1005150,"Romania: Liga 1",109
"12",1005163,"Poland: Ekstraklasa",122
"13",1005164,"Poland: Division 1",100
"14",1005165,"Poland: Division 1",100
"15",1005166,"Poland: Division 1",100
"16",1005171,"Germany: 2. Bundesliga",148
"17",1005172,"Germany: 2. Bundesliga",148
"18",1005173,"Germany: 2. Bundesliga",148
"19",1005174,"Germany: Oberliga Baden-Württemberg",125
"20",1005183,"Germany: 3. Liga",189
"21",1005184,"Germany: 3. Liga",189
"22",1005185,"Germany: Regionalliga Nordost",130
"23",1005186,"Germany: Regionalliga Sudwest",110
"24",1005187,"Germany: Regionalliga Bayern",102
"25",1005188,"Germany: Oberliga Westfalen",124
"26",1005193,"Germany: Oberliga Hessen",103
"27",1005197,"Germany: Regionalliga North",118
"28",1005201,"Germany: Oberliga Hessen",103
"29",1005202,"Germany: Oberliga Rheinland-Pfalz/Saar",102
"30",1005214,"England: Premier League U21",125
"31",1005215,"England: Premier League U21",125
"32",1005216,"France: Ligue 2",211
"33",1005217,"France: Ligue 2",211
"34",1005218,"France: Ligue 2",211
"35",1005219,"France: Ligue 2",211
"36",1005220,"France: Ligue 2",211
"37",1005221,"France: Ligue 2",211
"38",1005222,"France: Ligue 2",211
"39",1005223,"France: Ligue 2",211
"40",1005224,"France: National",151
"41",1005225,"France: National",151
"42",1005226,"France: National",151
"43",1005227,"France: National",151
"44",1005228,"France: National",151
"45",1005229,"France: National",151
"46",1005230,"France: National",151
"47",1005231,"France: National",151
"48",1005232,"Germany: Oberliga Hamburg",118
"49",1005235,"Germany: Oberliga Westfalen",124
"50",1005236,"Netherlands: Eerste Divisie",191
"51",1005237,"Netherlands: Eerste Divisie",191
"52",1005238,"Netherlands: Eerste Divisie",191
"53",1005239,"Netherlands: Eerste Divisie",191
"54",1005240,"Romania: Liga 1",109
"55",1005241,"Serbia: Super Liga",118
"56",1005243,"South Africa: Premier League",128
"57",1005245,"England: Premier League U21",125
"58",1005249,"Belgium: Jupiler League",155
"59",1005250,"France: Ligue 1",221
"60",1005251,"France: National",151
"61",1005252,"Germany: Bundesliga",164
"62",1005254,"Poland: Ekstraklasa",122
"63",1005255,"Spain: Primera Division",224
"64",1005256,"England: Championship",308
"65",1005257,"England: Vanarama National League",309
"66",1005262,"Wales: Premier League",128
